,,,content,NA,P,F,M,A
9.26E+17,Lupus_Chat,01:32.0,"🌞 Good morning #LupusChat family. Stretch, have some breakfast, and take your meds. We hope you have a peaceful and pain-free day! 💜💜💜 https://t.co/NMeTYB8ueQ",,x,,,
9.26E+17,DadoftheDecade,01:19.0,"@Loricatus_Lupus @NewOldGuard @Alyssa_Milano No, mostly we block overwhelming stupidity.",,x,,,
9.26E+17,scattrd_evrywhr,59:37.0,@SLSmith000 I know you have Lupus but have you also been tested for Lyme?,,x,,,
9.26E+17,G_alice24,55:16.0,Also remember how Selena has lupus &amp; she had to get a TRANSPLANT literally 2 months ago? https://t.co/ltPBbeswhw,,x,,,
9.26E+17,Cherharris7,52:38.0,Back to bed I go! I’m fighting hard Tweetie Pies💜😢😢😢#Lupus Sucks https://t.co/kEsooLKxTX,,x,,,
9.26E+17,aoakleighxx,51:28.0,@phiebz @TANGOYOONMIN @cruelzaddy @HAIMcrown @billboard @selenagomez And selena is raising money and awareness for lupus,,x,,,
9.26E+17,SLSmith000,50:00.0,@SwagersRia It’s lupus related,,x,,,
9.26E+17,lovatosxdrew,47:45.0,selena really does raise awareness and i’m so happy she’s doing it. i never knew anything about lupus until she talked about it,,x,,,
9.26E+17,Pinkishlypink66,45:20.0,Appt with rheumatologist to sort out possible lupus dx. The dx would explain many things and end yrs of questions.,,x,,,
9.26E+17,_thisisalex__,43:47.0,@natasharoastova That's what I meant. It benefits everyone effected by lupus but no one in the industry.,,x,,,
9.26E+17,lupusnewstoday,40:22.0,Dr. Anne Stevens on Scleroderma and Lupus Research https://t.co/taMwh5kvl2 https://t.co/J7tM9raqI1,,,,,x
9.26E+17,mkbelx,39:10.0,For all these that said she faked lupus! Fuck u #lupus #Selenators #selenagomez https://t.co/lzbSPPgPrb,,x,,,
9.26E+17,_thisisalex__,38:21.0,@natasharoastova Like I know she's done research for lupus but that doesn't really affect the music industry.,,x,,,
9.26E+17,aoakleighxx,37:04.0,"@Costanza_Fam @billboard @selenagomez Having very popular songs, and fighting lupus, nearly dying and coming out stronger than ever, raising money and inspiring others",,x,,,
9.26E+17,syafiqaahaqilah,37:00.0,"@tellmecarey @waffleroseland but selena? its not about shes sick &amp; wtv. if i had lupus, a kidney transplant, i wouldnt even release music/music vid &amp; make 13RW",,x,,,
9.26E+17,kaykaysponaugle,33:42.0,"This morning, I decided that I am finally going to get tested for lupus. My doctors wanted me too when I was 20 &amp;I discredited it. Its time.",,x,,,
9.26E+17,Cherharris7,30:34.0,@Marinedav1775 Thnx Babe💜Lupus Sucks😢😢😢,,x,,,
9.26E+17,DigitalLookNews,26:23.0,ImmuPharma makes progress with Phase III trial of Lupus drug https://t.co/83Hbxn8l5c,,,,x,
9.26E+17,TrubleNParadis,22:28.0,The Effects Of Stress On Women With Lupus https://t.co/e0iRH9IMRm via @Womens Health Zone,,,,x,
9.26E+17,ShutUp_AJ,21:29.0,"@JohnBirmingham Homo homini lupus - man is a wolf to man. There are cruelties man reserves for other men.
Start there?",x,,,,
9.26E+17,CFC_CommTrust,20:40.0,"🔵 | Lupus is looking forward to the Chester Santa Dash and he's encouraging @ChesterFC fans to sign up!

Read more 👉 https://t.co/NMbSLkt0Ov https://t.co/vqQgqyCliQ",x,,,,
9.26E+17,mistapage,18:17.0,@Dr_A_Rashid Family member told by rheum consultant that RA medication had ‘probably’ caused her lupus. And he wonders why her meds compliance now poor!,,x,,,
9.26E+17,Convergence_11,14:15.0,Breaks my ❤️ for Vi to have lupus but damn I love Hollywood’s support of her 😩 #QueenSugar https://t.co/5IzBTVYfuR,,x,,,
9.26E+17,scha_hee_rha,09:31.0,@anneeeisbae My kind schoolmate just died from Lupus this year 😢 she was in finale year medical school also,,x,,,
9.26E+17,Sobrightstars,08:12.0,Is there anyone out there with drug induced #lupus ? #ibd @CrohnsColitisUK I can't get any answers.,,x,,,
9.26E+17,WXII,01:10.0,Triad woman shares about living with lupus https://t.co/6qJ5i7hyV2 https://t.co/wjt3lfkl1c,,x,,,
9.26E+17,MsSuzie_Q,59:52.0,"Some of you don't care, but my family and my real friends will. In Honor of someone who fights lupus .... ⭐️💫⭐️❣❣❣
Copy and paste",,x,,,
9.26E+17,amzingrl,59:33.0,Up allnite w/ a lupus migraine and sinus pressure. I must be having a gnat convention in my house i swear! Wtf!? #killthemall,,x,,,
9.26E+17,NewOldGuard,55:39.0,@Loricatus_Lupus @DadoftheDecade @Alyssa_Milano He’ll block you if you call him out.,,x,,,
9.26E+17,HolisticGal,50:35.0,"Lupus and the liver. If your liver enzyme levels are increased, this may be due to NSAIDs or… https://t.co/sDE0RfFg7b",,,,x,
9.26E+17,MileyShoes,45:45.0,Not saying Selena is lying. What she went through is horrible. But lupus is a chronic disease and she said it's gone..,,x,,,
9.26E+17,doctorsuzie,45:25.0,"Lupus is an autoimmune disease that can cause painful joints, muscles, and red rashes. What you need to know:... https://t.co/YkUxfjxIdr",,,,,x
9.26E+17,kidneydoc101,43:57.0,@BertPower @toates_19 @ThePeanutKidney Many still do plus massive doses oral #steroids. Case of class V #lupus yesterday in #glomerular course Rx with 80mg oral pred 😳 #kidneywk,,,,,x
9.26E+17,sophialiewyl,41:37.0,@CelinaChux I think it's because of her contribution and speaking up about lupus and also mental health 😬,,x,,,
9.26E+17,bazealdehyde,41:05.0,I think it's cause y'all feel guilty she has lupus? https://t.co/426HAWeT3s,,x,,,
9.26E+17,LupusTreatment,37:03.0,As many as 70% of people with #lupus have some dermatological symptoms.,,,,,x
9.26E+17,itsduckielove,32:39.0,"OK COOL GUYSS

I don't have lupus but I have to have more tests to find out what's wrong with me HAHAHAHA",x,,,,
9.26E+17,stackharriet,29:56.0,The Basics: Lupus from @WebMD https://t.co/ZKshqMrcDM,,,,,x
9.26E+17,hannast3,29:10.0,"Some of you don't care, but my family and my real friends will. In Honor of someone  who fights lupus . ⭐️💫⭐️❣❣❣
Copy and paste",,x,,,
9.26E+17,DarkSceneOrg,25:13.0,Canis Lupus - The Final Dream (2017) - https://t.co/65hgarTTR5 https://t.co/uhuV802fJD,x,,,,
9.26E+17,DarkSceneOrg,25:12.0,Canis Lupus - Shape Of The Ghost (2013) - https://t.co/oEaQGNjoxP https://t.co/WkbrzUt9Iz,x,,,,
9.26E+17,wallybert,24:34.0,"@Loricatus_Lupus well, their calendar is further along than most everyone elses....",x,,,,
9.26E+17,LupusawarenesKe,23:22.0,"Africa Football Journalist Collins Okinyo joining us as we create awareness on the disease LUPUS.

Thank you... https://t.co/FMbRLvjsaW",,,,,x
9.26E+17,Moirraines,20:19.0,"@WebMD You don't know a THING about Lupus. 

YOU IGNORE the worst emergency in medicine - DOCTORS are not TRAINED, they COAST.

#DangerousDocs",,x,,,
9.26E+17,_chinaaBERRY,17:05.0,i feel bad that Aunt Vi is hiding the fact that she has #Lupus from Hollywood @QueenSugarOWN #QueenSugar,,x,,,
9.26E+17,thomashIby,15:30.0,"selena: WE day, supported mutiple organizations for social activism, brought attention to lupus &amp; had people donate

ariana: had 1 concert https://t.co/kap4ZmcCgx",,,,,x
9.26E+17,kimmieguy,14:19.0,@Loricatus_Lupus Have you noticed a bunch of nobodies that are verified?,x,,,,
9.26E+17,uhBlutifulMynd,12:37.0,I really like how @QueenSugarOWN has brought life to #lupus. An illness I’ve suffered from for 18 years.,,x,,,
9.26E+17,NYWellnessGuide,08:25.0,"RT Lupus is an autoimmune disease that can cause painful joints, muscles, and red rashes. What you need to know:… https://t.co/b1prrOWdgn …",,,,,x
9.26E+17,fatherbananas,07:05.0,"Off to potentially find out if I’ve got rheumatoid arthritis, lupus or something else, wish me luck gang!",,x,,,
9.26E+17,ts6reputation13,06:54.0,"@PopCrave Justin, what is you doin with that walking piece of whispering lupus.",x,,,,
9.26E+17,CakeladieDeAnna,06:35.0,@Lupus_Chat does anyone ever feel like they are at their end of their rope and can't continue on? I am at that point 😢,,x,,,
9.26E+17,fpizart,04:00.0,"WebMD: Lupus is an autoimmune disease that can cause painful joints, muscles, and red rashes. What you need to kno… https://t.co/r82GhrgGaV",,,,,x
9.26E+17,WebMD,00:42.0,"Lupus is an autoimmune disease that can cause painful joints, muscles, and red rashes. What you need to know: https://t.co/ZaGkQZSdWA https://t.co/0qpgOUNBC1",,,,,x
9.26E+17,LUPUSUK,00:01.0,"New evidence about e-cigarettes suggests they could be a potential trigger for developing conditions such as #lupus.
https://t.co/oZUaftxsRq",,,,x,
9.26E+17,minimumterm,54:10.0,ok but seeing selena so healthy and happy after her surgery and battle with lupus makes me so happy https://t.co/9n2pVdcpYj,,x,,,
9.26E+17,isa2000cristina,32:20.0,"@guccibyhes lupus has nothing to do with music.
Yes, props to her, but receiving a kidney was just a surgery",,x,,,
9.26E+17,Yontz3333,31:49.0,"Some of you don't care, but my family and my real friends will. In Honor of someone who fights lupus .... ⭐️💫⭐️❣❣❣
Copy and paste",,x,,,
9.26E+17,disease_detail,28:49.0,What is Lupus And What Causes it? https://t.co/V40bJPSZa9 https://t.co/e5aV2NUUxt,,,,,x
9.26E+17,melodyfayre,28:41.0,@annascanlon Yeah I was confused about that. Unless she meant her Lupus is in remission and her kidneys are doing better.,,x,,,
9.26E+17,DermatitisJourn,25:46.0,"Systemic lupus nephritis is autoimmune disease that affects mainly women of reproductive age, it can affect multiple different organ systems",,,,x,
9.26E+17,anarbsilva01,24:05.0,I get it but Selena went throught a kidney transplantation  and for 5 years she talks about Lupus. Don't you think she deserves it too? https://t.co/VyeXng2c0x,,x,,,
9.26E+17,SWEETROCKSTAR,20:48.0,@justinbieber @selenagomez SILLY PAPARAZZI OMG! ya 'all &amp;  SK8Thrasher tshirt cool!@~~@!Yo! Selena: Mysis whohas7 kids foundout she has Lupus💌🎄 https://t.co/OgAR4g19jP,,x,,,
9.26E+17,open_lupus,19:25.0,"Lupus: Typically, the #manifestation of the disease tends to be more #acute in those affected who are of younger age.",,,,,x
9.26E+17,SeattleSix,18:11.0,@Loricatus_Lupus @BoonaticRex I know ... a friend of mine had one ... those were ginormous ... surprised their TV didn't collapse under the weight ...,,x,,,
9.26E+17,open_lupus,18:03.0,Lupus:  #Lupus is usually influenced by #gene polymorphisms.,,,,x,
9.26E+17,Deejaye1978,13:40.0,#QueenSugar Darla dropping a bombshell on RalphAngel Aunt Vi keeps quiet about her Lupus and Nova finally close the chapter on her prison https://t.co/DzBRVVO0Hf,,x,,,
9.26E+17,SeattleSix,11:17.0,"@Loricatus_Lupus @BoonaticRex And cost an arm, a leg and two feet ...",x,,,,
9.26E+17,iamfireflies,08:53.0,turn on the lupus tales - mood writing spotify playlist and it played the feeling by travis atreo and i squeeled,x,,,,
9.26E+17,RaphaelRyder2,08:36.0,@Loricatus_Lupus Travertine. Not sure why that cracked me up. It broke me.,x,,,,
9.26E+17,selsdrugs,05:17.0,"@billboard @selenagomez the hate people give is actually making me sick. how could you joke about selena having lupus, she almost fucking did. have some respect",,x,,,
9.26E+17,TheLupusEffect,05:07.0,Researchers and Advocates Honored for Pioneering Efforts to End Lupus https://t.co/4ZD29GZ3VO,,,,,x
9.26E+17,manofmanychins,00:52.0,@Loricatus_Lupus That he is.,x,,,,
9.26E+17,ASTRAZENECAUK,00:06.0,The symptoms of #Lupus are often confused with other conditions that share a number of similar symptoms #SLE https://t.co/NkyQXIGNVw,,,,x,
9.26E+17,RaphaelRyder2,00:04.0,"@Loricatus_Lupus In her defense, there weren't any 'No Shitting' signs anywhere. As well as no 'No Rape' and no 'No Suicide Vest Detonation' signs either.",x,,,,
9.26E+17,dalilatm,59:23.0,"Life is...This little hand grabbing you and telling you that you can beat #Lupus #SLE 
#feelingalive https://t.co/l8PIsNCpUE",,x,,,
9.26E+17,eggmanab,58:31.0,"Alzheimer’s disease, multiple sclerosis, Type 1 diabetes, Hashimoto’s Thyroiditis, celiac disease, osteoporosis, and lupus are all aut...",,,,x,
9.26E+17,iamfireflies,54:05.0,gotta continue reading lupus tales: through my eyes lmao it was wayyyy too long i cant believe ive been reading it since last night,x,,,,
9.26E+17,CommitedAriana,37:29.0,@A1Cyn @moonlightgae She still had a benefit concert she was also part of the Charlottesville benefit concert Selena raised money for lupus but notas much as Ari,,x,,,
9.26E+17,LmwakaLl,33:41.0,@MlleKatMichele @TIME Whole year they mean to tell us she was the only one inspiring. And she's not the only celebrity with lupus.,,x,,,
9.26E+17,damaris_laurent,19:28.0,"Wow, I have had lupus sle. I changed my eating ways all around! KIT! You sound amazing!",,x,,,
9.26E+17,annascanlon,06:00.0,@YpsilantiNewz Those of us with lupus are supposed to believe every single person who has a miracle cure or get berated. 🙄,,x,,,
9.26E+17,herbsyhc,04:37.0,The 💰Selena has donated to #Lupus research will save untold numbers of lives https://t.co/wL8J9QpKYi,,x,,,
9.26E+17,Lassx,04:06.0,@Loricatus_Lupus Fantastic xxx,x,,,,
9.26E+17,Del_DemondJ,02:22.0,Ralph Angel came back wasted &amp; Vy &amp; Hollywood planning on telling the family about Vy having lupus can't do that now apparently #QueenSugar,,x,,,
9.26E+17,mysticfly67,47:59.0,@Loricatus_Lupus It's a travel day.  I'm headed East to the bayou state.,x,,,,
9.26E+17,_GlitterAF,45:59.0,"@_GlitterAF dollars for the lupus foundation, despite everything she's been going through and has been through herself, she continues to",,x,,,
9.26E+17,drconniejeon,45:05.0,"Do you feel exhausted before the day is over? Here's energy boosting Yoga for Lupus.  
https://t.co/N5IboarF7F https://t.co/mJ3fzcw4Vs",,,,x,
9.26E+17,maddiedownsss,43:37.0,@mexfurl she just battled lupus for a little over a year so i don't think it's a tribute to her music but more for her strength through her disease,,x,,,
9.26E+17,bedmarkov_bot,41:07.0,"ARE a lot of the real world, or Canis lupus familiaris breeds, and human being ""unbreakable""...",x,,,,
9.26E+17,MoonlightGrenor,39:24.0,@MllNDFLAYER @_withUforever @SnakeTaylucifer @Neurocryptic @saidxangel @grin_amy @billboard @selenagomez Whoa man. You’re dumb. Lupus has NOTHING to do with MUSIC. Stfu,,x,,,
9.26E+17,Mellecon,39:17.0,@Loricatus_Lupus Lol.  I’m not high or drink at all to buy that.,x,,,,
9.26E+17,MARKPEACED,37:24.0,"@METALTEARSOLID She faught a disease called lupus , got a kidney transplant , survived 2017 and still selling records . 🤘🏽",,x,,,
9.26E+17,Ms_Charlie_Rae,35:40.0,"@leewalth @YouTube I'm lucky I don't have that. Yet, my lupus attacks my blood vessels. It constricts. Vasculitis. Not fun.",,x,,,
9.26E+17,Ms_Charlie_Rae,34:55.0,"@leewalth @YouTube Some ppl w/their lupus have their blood that turns ""sticky"" or clot. So your veins get clogged &amp; risk of a classic ❤️ attack, stroke, etc.",,x,,,
9.26E+17,WhitCoko,34:41.0,"@ChenguGold 1/Oh belive me, i have systemic lupus &amp; a huge cyst on my spine. A lot of friends see it as a war when their docs pull opiods from them.  .",,x,,,
9.26E+17,Ms_Charlie_Rae,32:56.0,"@leewalth @YouTube When you have lupus, the immune system attacks the body mistaking it as an ""invader."" Think immune system on over drive attacking organs.",,,,x,
9.26E+17,triviumettalic,23:12.0,"okay so I'm working now on a research about lupus with my aunty, and inspired me to pursue my research interests~",,x,,,
9.26E+17,Ms_Charlie_Rae,22:06.0,"@leewalth @YouTube I'm lucky though b/c I don't have ""sticky blood"" like most lupus pts do.",,x,,,
9.26E+17,TMcphilly,17:21.0,@vgunvalson I wish my mom would help support &amp; defend the affects of my #Lupus as U do for #Briana #RHOC thank you for bringing awareness,,x,,,
9.26E+17,youl00ksocool,17:16.0,"@ohhthesea Lmaoooo. For real this is me. They be having rash and I be like, “This might be lupus.” 😭😭",,x,,,
9.26E+17,94thAvenue,16:05.0,"@Lupus_Chat I just want to know if my SLE is the reason why my ovaries and uterus screw up. Cysts non stop, pain, no monthly cycle at all, etc.",,,,x,
9.26E+17,94thAvenue,15:02.0,@4blackstockings @Lupus_Chat Have you considered B12 pills or injections? They have helped me a little bit! I’m in a good ‘period’ of my illness atm but the B12 helps!,,,x,,
9.26E+17,94thAvenue,14:13.0,@goodtimes1618 @Lupus_Chat This! Luckily my lungs are strong but I’ve already had a lung infection and get bronchitis so often.,,,,x,
9.26E+17,TMcphilly,12:21.0,@sayno2sharkfins @DJDizziDee Absolutely!!!! Don't judge unless you've walked in her shoes no one without #Lupus can understand what we go thru,,x,,,
9.26E+17,Alydaemi,10:59.0,"Yesss, Aunt Vi finally accepting a real partner in Hollywood...lupus is a FAR cry from his ex-wife's mental health issues.  #QueenSugar",,x,,,
9.26E+17,carenrich,08:09.0,"Lupus and Skin Care: Sun Protection, Beauty Treatments, Rash Treatments, and Makeup https://t.co/1o4XO4Rr6A
 from @WebMD",,,,x,
9.26E+17,StemEngrGirl,05:58.0,@ava Thanks for bringing light to #Lupus for everyone like me who suffers. We desperately need a cure. 🙏🏾💙💚😀,,,,,x
9.26E+17,mumblecore_,05:16.0,"Going through (not that) old Indonesian TV show ""Lupus Milenia"" and found this @Fahrani_Empel https://t.co/W7pKTrwsr4",x,,,,
9.26E+17,praktice_ai,00:50.0,Lupus-related mortality is down 43.9% since 1960 but gaps remain: https://t.co/tMxEpjlnc0 https://t.co/NAYLULuzSA,,,,,x
9.26E+17,FitnessBodyMe1,59:03.0,"Dear Mark: Is Keto Ancestral, Ketone Breath, and Keto for Lupus? https://t.co/YYSSFcRzTD #Fitness ?",,,x,,
9.26E+17,duaslena,57:17.0,lol tragic she really has lupus u idiot https://t.co/pIh47gKV6B,,x,,,
9.26E+17,mlle_lla,56:29.0,"@tellmecarey in the world,lot of kids get disease &amp; sometimes worse than lupus / they ALSO almost died but they still fight aw &amp; did they win awards btw?",,x,,,
9.26E+17,TMcphilly,54:01.0,@cmadaviss Do you have #Lupus,,x,,,
9.26E+17,TMcphilly,52:00.0,@osaxy Distraction is my best medicine it's the pain that is too great that distractions won't work that shut me down #lupus,,x,,,
9.26E+17,NurseMaryJInk,51:22.0,Medical Marijuana and Lupus: What You Need to Know https://t.co/Kac8I3vTDR #marijuanahealth https://t.co/6hfsVkenxU,,,,x,
9.26E+17,lupussurvivors,50:40.0,Lupus usually develops between ages 15 and 44 and it lasts a lifetime. There is NO CURE. SHARE!https://t.co/TClwcK0izG https://t.co/pjLZwA9j1Y,,,,,x
9.26E+17,vodka2013d,48:07.0,So I found out I have thyroid peroxidase 😱 then it can cause lupus and that run in my family,,,,x,
9.26E+17,LupusNJorg,47:47.0,"Help our cause,support the Lupus Foundation of America, New Jersey Chapter, Inc. https://t.co/8ZHYtCOIQh https://t.co/FyrNKjoCHa",,,,,x
9.26E+17,arantxagomez14,47:24.0,@skyetheowl @laurextralarge @booblenalikesxo @moonlightgae Yet has Taylor talked about her lupus fight on a song? Success isn’t fame honey.,,x,,,
9.26E+17,TMcphilly,47:16.0,@vgunvalson how is Briana doing now? I have #Lupus 2 &amp; understand what she's going thru Thanks 4 bringing awareness https://t.co/8j8FcTCFQt https://t.co/pbun3Pnr7p,,x,,,
9.26E+17,skyetheowl,46:52.0,@arantxagomez14 @laurextralarge @booblenalikesxo @moonlightgae Lmao Demi HAS spread awareness on SEVERAL things outside of Lupus 👏👏👏,,x,,,
9.26E+17,ThottyiB,44:52.0,omg we're studying about Lupus poor selena :(,,x,,,
9.26E+17,arantxagomez14,43:31.0,"@skyetheowl @laurextralarge @booblenalikesxo @moonlightgae both of them are the two only females, yet selena made aware everyone what’s lupus. When will your fav ever.",,x,,,
9.26E+17,KobeHipolito,43:24.0,"@laurenkygar executive produced 13 reasons why, launched partnerships with coach and puma, and helped raise $500,000 for Lupus Research Alliance....",,,,,x
9.26E+17,stdelphily,38:53.0,"she overcame her lupus and almost died, she donated a huge amount to the lupus research and she took part in multiple charity events",,x,,,
9.26E+17,StemEngrGirl,37:28.0,"@tinalifford as a person who suffers from Lupus, I am glad that #QueenSugar is talking about this disease that is quite complicated. 🙏🏾💙😌",,x,,,
9.26E+17,UGotKatenapped,35:28.0,@No1StaysTheSame @DeadlyLazy @pxrryfection @moonlightgae @DangerousPerry_ @ArianaGrande It's amazing she brought awareness to lupus and all but it's #WomenInMusic so it gotta be related to music,,x,,,
9.26E+17,itskenzalexis,34:55.0,"remember when she got LUPUS, arthritis, had a kidney transplant, and only had a few years left? both are important but don’t down on selena https://t.co/YzF8gMCbxZ",,x,,,
9.26E+17,d20_simulator,30:01.0,"3, It's definitely Lupus. #DnD #DungeonsAndDragons",x,,,,
9.26E+17,AspergianEyes,22:24.0,Current attitude towards my lupus. https://t.co/q9T93XuUXI,,x,,,
9.26E+17,DebraMd90,21:37.0,"@bob_abooee @manndaraee Selena Gomez just had a kidney transplant, from her best friend! Selena has Lupus, that attacks her kidneys!  Prayers for her! Lupus sucks!",,x,,,
9.26E+17,INSPIRFASH,18:06.0,Selena Gomez on Ignoring Her Lupus Diagnosis and Taking Time Off: 'I Removed Myself From Everyone in My Life' https://t.co/b8VgKrZhor,,x,,,
9.26E+17,lfyouhadmyIove,17:21.0,Selena has lupus but she's still taking drugs and smoking cigarettes. Something ain't right,,x,,,
9.26E+17,medschat,16:25.0,Lupus and belching - I have been diagnosed with sle since past 3 months and apparently it's been with me for 15... https://t.co/zx9QKvDBzo,,,,x,
9.26E+17,bayatellai,13:23.0,Selena Gomez Lupus kidney Transplant Didn't Have to Happen https://t.co/4Mho08xPAu via @YouTube this doctor is a life savior,,x,,,
9.26E+17,LeakyGutFacts,13:03.0,"#Leakygut signs: #autoimmunedisease such as rheumatoid arthritis, Hashimoto's thyroiditis, lupus, psoriasis, or celiac disease.",,,,x,
9.26E+17,S735XxaoOk1YN4Y,11:07.0,Lupus-Naughty schoolgirls on the bench | https://t.co/3AEOhSVdbm https://t.co/3X4r0B2jKE,x,,,,
9.26E+17,BeautyBeats94,10:19.0,"@BieberBitxh @selenagomez Album, lupus documentary, AMA performance, and single that's flopping...its like 88 or something on billboard. She's racking up the promo",,x,,,
9.26E+17,dragonclaw2017,02:17.0,"Thanks for the follow @ElaineUlrich4 Join us at https://t.co/8ckvHDKncK    , providing community &amp; support for those with RD, Lupus &amp; JIA. https://t.co/FZSWyVupAQ",,,,,x
9.26E+17,themunson,02:15.0,@TedTaylor3 That is legitimately awesome. He was my favorite along with Lupus.,x,,,,
9.26E+17,JoeAconite,01:23.0,"@WerewolfNews ""It's not Lupus!""
""Yes it is.""
""Well, in a Latin literal sense...""",x,,,,
9.26E+17,tellmecarey,59:57.0,@Alexlittttt So we're using her lupus situation for sympathy now? Don't do that sis it's triggering watching you do that https://t.co/NRzfuDzL8f,,x,,,
9.26E+17,lupussurvivors,59:12.0,Lupus attacks different parts of the body.  SHARE 4 #lupusawareness #lupussurvivors https://t.co/TClwcK0izG https://t.co/4SvRrpnd2C,,,,,x
9.26E+17,CrissyPooh757,58:12.0,I remember my lupus scare. It was a false positive thank goodness 🙏🏾,,x,,,
9.26E+17,fetishforrep,57:58.0,@tellmecarey @arianasdx she is one of the most important people spreading awareness on lupus. literally no one knew what it was until she spoke up about it.,,x,,,
9.26E+17,ActiveWorldUK,56:35.0,Exercise May Stem Kidney Damage in Lupus Patients https://t.co/I9diDCIa8X https://t.co/noQCHR86eD,,,,x,
9.26E+17,ChronicallyJill,55:26.0,"@dotfrancis2 @mcvegan_debbie @545Stanley @GMPaiella That's interesting, thanks. I can't be in the sun because of lupus.",,x,,,
9.26E+17,GEGreen,55:20.0,"Some of you don't care, but my family and my real friends will. In Honor of someone who fights lupus .... ⭐️💫⭐️❣❣❣
Copy and paste",,x,,,
9.26E+17,ARD_BMJ,55:11.0,"Influence of disease activity and medications on offspring birth weight, pre-eclampsia and preterm birth in #lupus  https://t.co/04k0ZYXvdP",,,,x,
9.26E+17,tellmecarey,53:32.0,"@homoFFpisze So was Toni Braxton when she found out she had lupus, by your logic she deserves a reward for this as well",,x,,,
9.26E+17,1800morebucks,52:03.0,When Martin was Santa and one of the kids said Santa had lupus 😭😭😭,,x,,,
9.26E+17,tellmecarey,51:32.0,"@whothefxckisshe Y'all keep using that ""she has lupus"" excuse...what exactly does that have to with winning a music award??",,x,,,
9.26E+17,edgarvlermamd,49:49.0,LIGHTSTONE: On treating #Lupus Nephritis in pregnancy #Nephpearls #KidneyWk https://t.co/RnugefqHHj,,,,x,
9.26E+17,mattyatthedisco,47:49.0,"I understand why people think Ari deserved it, but I can also see why Selena should get it. Look at her single sales. And the lupus mess?! https://t.co/MPLD6FxbzW",,x,,,
9.26E+17,kellymaciee,45:47.0,"@moonlightgae stop pitting strong, successful women against each other. Selena's success in her music career throughout her entire battle with lupus",,x,,,
9.26E+17,RMGStaffing,45:25.0,RMG Staffing Joins Efforts with Lupus Foundation of America to Raise Awareness. Walk to End Lupus Now™ @bacardiusa https://t.co/QvS22i96ew https://t.co/SB6lyVIDxz,,,,,x
9.26E+17,scha_hee_rha,45:03.0,She’s gonna die from lupus anyway let heart want what it want 😭😭 😭just lupus is no jokes https://t.co/eM1T7NeY5m,,x,,,
9.26E+17,tellmecarey,44:49.0,@olddirtyattire @BeechumYanik Bish I thought she had lupus this entire time,,x,,,
9.26E+17,manofmanychins,44:16.0,@LShrug @Loricatus_Lupus When hoarders are born...,x,,,,
9.26E+17,LShrug,43:58.0,@manofmanychins @Loricatus_Lupus No. Silver balls are just cool.  No hound spinning.,x,,,,
9.26E+17,evalasucia,43:50.0,"@stephanispice @_moxxie Battling lupus. She’s made a huge impact in helping raise awareness, motivate donations, as well as donating herself.",,x,,,
9.26E+17,LShrug,43:14.0,@manofmanychins @Loricatus_Lupus Oh I get it..budding future hoarder.,x,,,,
9.26E+17,LLCoolBankz,43:06.0,@ShaaaMonique She has lupus and she’s diabetic from taking lupus meds she hurt her leg in September it’s not healing properly,,x,,,
9.26E+17,LShrug,42:44.0,@manofmanychins @Loricatus_Lupus Baby hoarder's. Or Hoarder's baby?,x,,,,
9.26E+17,manofmanychins,42:35.0,@LShrug @Loricatus_Lupus I see what you're doing here.  Woof.,x,,,,
9.26E+17,lupussurvivors,42:07.0,"Despite improving trends in lupus-related mortality, rates appear to remain high relative to non-lupus causes - 2  https://t.co/xO7RPQTckd",,,,x,
9.26E+17,LShrug,41:49.0,"@manofmanychins @Loricatus_Lupus Something pretty and also bad for you. But still. You threw out silver balls. SILVER BALLS, man!",x,,,,
9.26E+17,PWoosmann,41:12.0,@ichinis @Majonnchen @lupus_transitus @AdlerReloaded Kiefer 😉,x,,,,
9.26E+17,manofmanychins,40:56.0,@LShrug @Loricatus_Lupus A baby hoarder's first words.,x,,,,
9.26E+17,LShrug,40:19.0,"@Loricatus_Lupus @manofmanychins Yeah... Throwing things out is sacrilege. ""As soon as I get rid if it I'm going to need it"".",x,,,,
9.26E+17,manofmanychins,39:59.0,"@LShrug @Loricatus_Lupus I should have just eaten them and been done with it, but who knows what was in them?",x,,,,
9.26E+17,LShrug,38:42.0,@manofmanychins @Loricatus_Lupus Lol...  You regretted that throw out didn't you. Silver balls are cool.,x,,,,
9.26E+17,LShrug,37:25.0,@Loricatus_Lupus @manofmanychins That shit aint no good. Please tell me it's not.,x,,,,
9.26E+17,manofmanychins,37:17.0,"@LShrug @Loricatus_Lupus Sometime in the late 90s, early 00's, I finally threw out a bottle of those silver cake decorating balls, that was 20 yrs old at the time.",x,,,,
9.26E+17,LShrug,36:19.0,"@manofmanychins @Loricatus_Lupus One thing I could never get into.  Well, there's more than one...but that's on the list.",x,,,,
9.26E+17,tellmecarey,36:06.0,"@adoremayii @saintaIeks See that's what I'm saying, they don't care. They just pulling that ""she has lupus"" excuse for sympathy. That's NOT cool",,x,,,
9.26E+17,edgarvlermamd,35:41.0,"LIGHTSTONE: Maternal/ fetal outcomes with #Lupus Nephritis #Nephpearls #KidneyWk
👉🏼 https://t.co/cw3jN1XsFx
👉🏼 https://t.co/svNR1AApG4 https://t.co/iwkT3ynmcq",,,,x,
